month,Date,Open,High,Low,Close,Volume,Adj Close,change,percent change
10,01/10/1987,2372.1,2399.9,1598,1749.8,0,1749.8,0.737658615,-26.23413853
10,01/10/1986,1561,1632.2,1559,1632.2,0,1632.2,1.045611787,4.561178732
10,01/10/1985,1292.8,1379.1,1292.8,1377.2,0,1377.2,1.065284653,6.528465347
10,01/10/1984,1137.5,1155.3,1079,1152.1,0,1152.1,1.012835165,1.283516484
11,01/11/2010,5675.2,5902.1,5519.2,5528.3,940455100,5528.3,0.97411545,-2.588455032
11,02/11/2009,5044.5,5397,4985.1,5190.7,1100711300,5190.7,1.02898206,2.898205967
11,03/11/2008,4377.3,4639.5,3734.1,4288,1386575900,4288,0.979599296,-2.040070363
11,01/11/2007,6721.6,6723.7,6026.9,6432.5,1552055200,6432.5,0.956989407,-4.301059272
11,01/11/2006,6129.2,6256.8,6011.8,6048.8,1690671800,6048.8,0.986882464,-1.311753573
11,01/11/2005,5317.3,5554.9,5304.9,5423.2,1868493800,5423.2,1.019916123,1.991612284
11,01/11/2004,4624.2,4823.8,4624.2,4703.2,1612545100,4703.2,1.017084036,1.708403616
11,03/11/2003,4287.6,4423.6,4270.5,4342.6,1803765400,4342.6,1.012827689,1.282768915
11,01/11/2002,4039.7,4224.8,3953.3,4169.4,0,4169.4,1.032106345,3.210634453
11,01/11/2001,5039.7,5383.2,4988.3,5203.6,0,5203.6,1.032521777,3.252177709
11,01/11/2000,6438.4,6514.7,6070,6142.2,0,6142.2,0.953994781,-4.600521869
11,01/11/1999,6251.3,6759.3,6231,6597.2,0,6597.2,1.055332491,5.533249084
11,02/11/1998,5454.3,5881.7,5359.5,5743.9,0,5743.9,1.053095723,5.309572264
11,03/11/1997,4877,4985.8,4680.4,4831.8,0,4831.8,0.990732007,-0.926799262
11,01/11/1996,3982.7,4094.4,3896.5,4058,0,4058,1.018906772,1.890677179
11,01/11/1995,3517.5,3671,3493,3664.3,0,3664.3,1.041734186,4.173418621
